# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	775012	775257	+							BT_RS03100	246		old_locus_tag=BT0628,BT_0628
CDS	with_protein	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	775012	775257	+	WP_008761253.1	WP_008761253.1		TIGR03905 family TSCPD domain-containing protein			BT_RS03100	246	81	
gene	protein_coding	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	775422	776675	+							BT_RS03105	1254		old_locus_tag=BT0629,BT_0629
CDS	with_protein	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	775422	776675	+	WP_032840969.1	WP_032840969.1		Nramp family divalent metal transporter			BT_RS03105	1254	417	
gene	protein_coding	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	776706	777467	+							BT_RS03110	762		old_locus_tag=BT0630,BT_0630
CDS	with_protein	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	776706	777467	+	WP_008765510.1	WP_008765510.1		exodeoxyribonuclease III			BT_RS03110	762	253	
gene	protein_coding	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	777482	777940	+							BT_RS03115	459		old_locus_tag=BT0631,BT_0631
CDS	with_protein	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	777482	777940	+	WP_008765511.1	WP_008765511.1		C-GCAxxG-C-C family protein			BT_RS03115	459	152	
gene	protein_coding	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	778097	778297	+							BT_RS03120	201		old_locus_tag=BT_0631a
CDS	with_protein	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	778097	778297	+	WP_008761257.1	WP_008761257.1		winged helix-turn-helix domain-containing protein			BT_RS03120	201	66	
gene	protein_coding	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	778426	780207	+					lepA		BT_RS03125	1782		old_locus_tag=BT0632,BT_0632
CDS	with_protein	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	778426	780207	+	WP_008765513.1	WP_008765513.1		translation elongation factor 4	lepA		BT_RS03125	1782	593	
gene	protein_coding	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	780349	781527	+							BT_RS03130	1179		old_locus_tag=BT0633,BT_0633
CDS	with_protein	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	780349	781527	+	WP_048692293.1	WP_048692293.1		hypothetical protein			BT_RS03130	1179	392	
gene	protein_coding	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	781573	782892	+					nhaA		BT_RS03135	1320		old_locus_tag=BT0634,BT_0634
CDS	with_protein	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	781573	782892	+	WP_011107366.1	WP_011107366.1		Na+/H+ antiporter NhaA	nhaA		BT_RS03135	1320	439	
gene	protein_coding	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	783111	783479	+							BT_RS03140	369		old_locus_tag=BT0635,BT_0635
CDS	with_protein	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	783111	783479	+	WP_032813773.1	WP_032813773.1		BlaI/MecI/CopY family transcriptional regulator			BT_RS03140	369	122	
gene	protein_coding	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	783550	785196	+							BT_RS03145	1647		old_locus_tag=BT0636,BT_0636
CDS	with_protein	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	783550	785196	+	WP_011107367.1	WP_011107367.1		M56 family metallopeptidase			BT_RS03145	1647	548	
gene	protein_coding	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	785311	786540	-					rmuC		BT_RS03150	1230		old_locus_tag=BT0637,BT_0637
CDS	with_protein	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	785311	786540	-	WP_008765517.1	WP_008765517.1		DNA recombination protein RmuC	rmuC		BT_RS03150	1230	409	
gene	protein_coding	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	786540	787394	-					map		BT_RS03155	855		old_locus_tag=BT0638,BT_0638
CDS	with_protein	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	786540	787394	-	WP_008761263.1	WP_008761263.1		type I methionyl aminopeptidase	map		BT_RS03155	855	284	
gene	protein_coding	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	787476	788102	-							BT_RS03160	627		old_locus_tag=BT0639,BT_0639
CDS	with_protein	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	787476	788102	-	WP_008765519.1	WP_008765519.1		DUF4858 domain-containing protein			BT_RS03160	627	208	
gene	protein_coding	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	788459	790102	-							BT_RS03165	1644		old_locus_tag=BT0640,BT_0640
CDS	with_protein	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	788459	790102	-	WP_008765520.1	WP_008765520.1		B12-binding domain-containing radical SAM protein			BT_RS03165	1644	547	
gene	protein_coding	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	790214	790615	+							BT_RS03170	402		old_locus_tag=BT0641,BT_0641
CDS	with_protein	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	790214	790615	+	WP_008761266.1	WP_008761266.1		hypothetical protein			BT_RS03170	402	133	
gene	protein_coding	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	790735	791655	-							BT_RS03175	921		old_locus_tag=BT0642,BT_0642
CDS	with_protein	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	790735	791655	-	WP_008765521.1	WP_008765521.1		RluA family pseudouridine synthase			BT_RS03175	921	306	
gene	protein_coding	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	791691	793055	-					rlmD		BT_RS03180	1365		old_locus_tag=BT0643,BT_0643
CDS	with_protein	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	791691	793055	-	WP_011107369.1	WP_011107369.1		23S rRNA (uracil(1939)-C(5))-methyltransferase RlmD	rlmD		BT_RS03180	1365	454	
gene	protein_coding	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	793309	796029	+					ppdK		BT_RS03185	2721		old_locus_tag=BT0644,BT_0644
CDS	with_protein	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	793309	796029	+	WP_008765523.1	WP_008765523.1		pyruvate, phosphate dikinase	ppdK		BT_RS03185	2721	906	
gene	protein_coding	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	796288	796803	+							BT_RS03190	516		old_locus_tag=BT0645,BT_0645
CDS	with_protein	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	796288	796803	+	WP_008761320.1	WP_008761320.1		outer membrane beta-barrel protein			BT_RS03190	516	171	
gene	protein_coding	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	796993	797565	+							BT_RS03195	573		old_locus_tag=BT0646,BT_0646
CDS	with_protein	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	796993	797565	+	WP_008765529.1	WP_008765529.1		PorT family protein			BT_RS03195	573	190	
gene	protein_coding	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	797658	798266	-							BT_RS03200	609		old_locus_tag=BT0647,BT_0647
CDS	with_protein	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	797658	798266	-	WP_008761321.1	WP_008761321.1		thiamine phosphate synthase			BT_RS03200	609	202	
gene	protein_coding	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	798328	799020	-							BT_RS03205	693		old_locus_tag=BT0648,BT_0648
CDS	with_protein	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	798328	799020	-	WP_011107370.1	WP_011107370.1		HesA/MoeB/ThiF family protein			BT_RS03205	693	230	
gene	protein_coding	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	799025	800149	-					thiH		BT_RS03210	1125		old_locus_tag=BT0649,BT_0649
CDS	with_protein	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	799025	800149	-	WP_011107371.1	WP_011107371.1		2-iminoacetate synthase ThiH	thiH		BT_RS03210	1125	374	
gene	protein_coding	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	800221	801918	-					thiC		BT_RS03215	1698		old_locus_tag=BT0650,BT_0650
CDS	with_protein	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	800221	801918	-	WP_011107372.1	WP_011107372.1		phosphomethylpyrimidine synthase ThiC	thiC		BT_RS03215	1698	565	
gene	protein_coding	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	801999	802772	-							BT_RS03220	774		old_locus_tag=BT0651,BT_0651
CDS	with_protein	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	801999	802772	-	WP_011107373.1	WP_011107373.1		thiazole synthase			BT_RS03220	774	257	
gene	protein_coding	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	802785	803414	-							BT_RS03225	630		old_locus_tag=BT0652,BT_0652
CDS	with_protein	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	802785	803414	-	WP_011107374.1	WP_011107374.1		thiamine phosphate synthase			BT_RS03225	630	209	
gene	protein_coding	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	803419	803619	-					thiS		BT_RS03230	201		old_locus_tag=BT0653,BT_0653
CDS	with_protein	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	803419	803619	-	WP_008765536.1	WP_008765536.1		sulfur carrier protein ThiS	thiS		BT_RS03230	201	66	
gene	protein_coding	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	803832	805814	-							BT_RS03235	1983		old_locus_tag=BT0654,BT_0654
CDS	with_protein	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	803832	805814	-	WP_011107375.1	WP_011107375.1		HAMP domain-containing histidine kinase			BT_RS03235	1983	660	
gene	protein_coding	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	805970	806551	-							BT_RS03240	582		old_locus_tag=BT0655,BT_0655
CDS	with_protein	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	805970	806551	-	WP_011107376.1	WP_011107376.1		superoxide dismutase			BT_RS03240	582	193	
gene	protein_coding	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	806664	808406	-							BT_RS03245	1743		old_locus_tag=BT0656,BT_0656
CDS	with_protein	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	806664	808406	-	WP_011107377.1	WP_011107377.1		RHS repeat protein			BT_RS03245	1743	580	
gene	protein_coding	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	808554	810920	+							BT_RS03250	2367		old_locus_tag=BT0657,BT_0657
CDS	with_protein	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	808554	810920	+	WP_011107378.1	WP_011107378.1		UvrD-helicase domain-containing protein			BT_RS03250	2367	788	
gene	protein_coding	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	810944	811639	+							BT_RS03255	696		old_locus_tag=BT0658,BT_0658
CDS	with_protein	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	810944	811639	+	WP_011107379.1	WP_011107379.1		hypothetical protein			BT_RS03255	696	231	
gene	protein_coding	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	811729	812766	-							BT_RS03260	1038		old_locus_tag=BT0659,BT_0659
CDS	with_protein	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	811729	812766	-	WP_011107380.1	WP_011107380.1		TolB-like 6-bladed beta-propeller domain-containing protein			BT_RS03260	1038	345	
gene	protein_coding	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	812955	814106	-							BT_RS03265	1152		old_locus_tag=BT0660,BT_0660
CDS	with_protein	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	812955	814106	-	WP_011107381.1	WP_011107381.1		ATP-binding protein			BT_RS03265	1152	383	
gene	protein_coding	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	814665	814862	+							BT_RS03270	198		
CDS	with_protein	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	814665	814862	+	WP_143920196.1	WP_143920196.1		hypothetical protein			BT_RS03270	198	65	
gene	protein_coding	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	814865	816091	+							BT_RS03275	1227		old_locus_tag=BT0661,BT_0661
CDS	with_protein	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	814865	816091	+	WP_011107382.1	WP_011107382.1		6-bladed beta-propeller			BT_RS03275	1227	408	
gene	protein_coding	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	816544	818247	+							BT_RS03280	1704		old_locus_tag=BT0662,BT_0662
CDS	with_protein	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	816544	818247	+	WP_225011954.1	WP_225011954.1		O-antigen ligase family protein			BT_RS03280	1704	567	
gene	protein_coding	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	818264	818710	+							BT_RS03285	447		old_locus_tag=BT0663,BT_0663
CDS	with_protein	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	818264	818710	+	WP_011107384.1	WP_011107384.1		hypothetical protein			BT_RS03285	447	148	
gene	protein_coding	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	818740	819888	+							BT_RS03290	1149		old_locus_tag=BT0664,BT_0664
CDS	with_protein	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	818740	819888	+	WP_011107385.1	WP_011107385.1		6-bladed beta-propeller			BT_RS03290	1149	382	
gene	protein_coding	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	819996	820535	+							BT_RS03295	540		old_locus_tag=BT0665,BT_0665
CDS	with_protein	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	819996	820535	+	WP_162303151.1	WP_162303151.1		hypothetical protein			BT_RS03295	540	179	
gene	protein_coding	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	820535	821680	+							BT_RS03300	1146		old_locus_tag=BT0666,BT_0666
CDS	with_protein	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	820535	821680	+	WP_011107387.1	WP_011107387.1		6-bladed beta-propeller			BT_RS03300	1146	381	
gene	protein_coding	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	821693	822415	+					lepB		BT_RS03305	723		old_locus_tag=BT0667,BT_0667
CDS	with_protein	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	821693	822415	+	WP_011107388.1	WP_011107388.1		signal peptidase I	lepB		BT_RS03305	723	240	
gene	protein_coding	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	822417	824366	+							BT_RS03310	1950		old_locus_tag=BT0668,BT_0668
CDS	with_protein	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	822417	824366	+	WP_011107389.1	WP_011107389.1		hypothetical protein			BT_RS03310	1950	649	
gene	protein_coding	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	824498	825586	+							BT_RS03315	1089		old_locus_tag=BT0669,BT_0669
CDS	with_protein	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	824498	825586	+	WP_011107390.1	WP_011107390.1		efflux RND transporter periplasmic adaptor subunit			BT_RS03315	1089	362	
gene	protein_coding	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	825613	828720	+							BT_RS03320	3108		old_locus_tag=BT0670,BT_0670
CDS	with_protein	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	825613	828720	+	WP_011107391.1	WP_011107391.1		efflux RND transporter permease subunit			BT_RS03320	3108	1035	
gene	protein_coding	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	828717	830216	+							BT_RS03325	1500		old_locus_tag=BT0671,BT_0671
CDS	with_protein	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	828717	830216	+	WP_008761349.1	WP_008761349.1		TolC family protein			BT_RS03325	1500	499	
gene	protein_coding	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	830248	833493	+							BT_RS03330	3246		old_locus_tag=BT0672,BT_0672
CDS	with_protein	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	830248	833493	+	WP_011107392.1	WP_011107392.1		efflux RND transporter permease subunit			BT_RS03330	3246	1081	
gene	protein_coding	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	833584	834138	-							BT_RS03335	555		old_locus_tag=BT0673,BT_0673
CDS	with_protein	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	833584	834138	-	WP_008761351.1	WP_008761351.1		NAD(P)H-dependent oxidoreductase			BT_RS03335	555	184	
gene	protein_coding	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	834315	835454	+					nspC		BT_RS03340	1140		old_locus_tag=BT0674,BT_0674
CDS	with_protein	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	834315	835454	+	WP_011107393.1	WP_011107393.1		carboxynorspermidine decarboxylase	nspC		BT_RS03340	1140	379	
gene	tRNA	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	835573	835645	+							BT_RS03345	73		old_locus_tag=BT_t03
tRNA		GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	835573	835645	+				tRNA-Gly			BT_RS03345	73		anticodon=GCC
gene	tRNA	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	835680	835761	+							BT_RS03350	82		old_locus_tag=BT_t04
tRNA		GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	835680	835761	+				tRNA-Leu			BT_RS03350	82		anticodon=CAG
gene	tRNA	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	835786	835869	+							BT_RS03355	84		old_locus_tag=BT_t05
tRNA		GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	835786	835869	+				tRNA-Leu			BT_RS03355	84		anticodon=GAG
gene	tRNA	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	835888	835960	+							BT_RS03360	73		old_locus_tag=BT_t06
tRNA		GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	835888	835960	+				tRNA-Gly			BT_RS03360	73		anticodon=GCC
gene	tRNA	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	835993	836074	+							BT_RS03365	82		old_locus_tag=BT_t07
tRNA		GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	835993	836074	+				tRNA-Leu			BT_RS03365	82		anticodon=CAG
gene	tRNA	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	836113	836185	+							BT_RS03370	73		old_locus_tag=BT_t08
tRNA		GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	836113	836185	+				tRNA-Gly			BT_RS03370	73		anticodon=GCC
gene	protein_coding	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	836314	837480	+					nagA		BT_RS03375	1167		old_locus_tag=BT0675,BT_0675
CDS	with_protein	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	836314	837480	+	WP_008765558.1	WP_008765558.1		N-acetylglucosamine-6-phosphate deacetylase	nagA		BT_RS03375	1167	388	
gene	protein_coding	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	837499	838671	+					nagA		BT_RS03380	1173		old_locus_tag=BT0676,BT_0676
CDS	with_protein	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	837499	838671	+	WP_011107394.1	WP_011107394.1		N-acetylglucosamine-6-phosphate deacetylase	nagA		BT_RS03380	1173	390	
gene	protein_coding	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	838793	839152	-							BT_RS03385	360		old_locus_tag=BT0677,BT_0677
CDS	with_protein	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	838793	839152	-	WP_011107395.1	WP_011107395.1		thioredoxin family protein			BT_RS03385	360	119	
gene	protein_coding	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	839386	840648	+							BT_RS03390	1263		old_locus_tag=BT0678,BT_0678
CDS	with_protein	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	839386	840648	+	WP_011107396.1	WP_011107396.1		TolC family protein			BT_RS03390	1263	420	
gene	protein_coding	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	840704	841798	+							BT_RS03395	1095		old_locus_tag=BT0679,BT_0679
CDS	with_protein	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	840704	841798	+	WP_008765562.1	WP_008765562.1		efflux RND transporter periplasmic adaptor subunit			BT_RS03395	1095	364	
gene	protein_coding	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	841814	844939	+							BT_RS03400	3126		old_locus_tag=BT0680,BT_0680
CDS	with_protein	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	841814	844939	+	WP_008765563.1	WP_008765563.1		CusA/CzcA family heavy metal efflux RND transporter			BT_RS03400	3126	1041	
gene	protein_coding	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	845037	846368	-							BT_RS03405	1332		old_locus_tag=BT0681,BT_0681
CDS	with_protein	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	845037	846368	-	WP_008765564.1	WP_008765564.1		HAMP domain-containing histidine kinase			BT_RS03405	1332	443	
gene	protein_coding	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	846392	847066	-							BT_RS03410	675		old_locus_tag=BT0682,BT_0682
CDS	with_protein	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	846392	847066	-	WP_008761359.1	WP_008761359.1		response regulator transcription factor			BT_RS03410	675	224	
gene	protein_coding	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	847186	849201	+							BT_RS03415	2016		old_locus_tag=BT0683,BT_0683
CDS	with_protein	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	847186	849201	+	WP_008765565.1	WP_008765565.1		glycoside hydrolase family 97 protein			BT_RS03415	2016	671	
gene	protein_coding	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	849389	851053	-							BT_RS03420	1665		old_locus_tag=BT0684,BT_0684
CDS	with_protein	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	849389	851053	-	WP_011107399.1	WP_011107399.1		long-chain fatty acid--CoA ligase			BT_RS03420	1665	554	
gene	protein_coding	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	851405	852877	-							BT_RS03425	1473		old_locus_tag=BT0685,BT_0685
CDS	with_protein	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	851405	852877	-	WP_008761361.1	WP_008761361.1		potassium/proton antiporter			BT_RS03425	1473	490	
gene	protein_coding	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	853046	854230	+							BT_RS03430	1185		old_locus_tag=BT0686,BT_0686
CDS	with_protein	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	853046	854230	+	WP_008765567.1	WP_008765567.1		uracil-xanthine permease family protein			BT_RS03430	1185	394	
gene	protein_coding	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	854378	856009	-					hcp		BT_RS03435	1632		old_locus_tag=BT0687,BT_0687
CDS	with_protein	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	854378	856009	-	WP_008761363.1	WP_008761363.1		hydroxylamine reductase	hcp		BT_RS03435	1632	543	
gene	protein_coding	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	856207	856875	-							BT_RS03440	669		old_locus_tag=BT0688,BT_0688
CDS	with_protein	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	856207	856875	-	WP_008765568.1	WP_008765568.1		Crp/Fnr family transcriptional regulator			BT_RS03440	669	222	
gene	protein_coding	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	856887	858203	-							BT_RS03445	1317		old_locus_tag=BT0689,BT_0689
CDS	with_protein	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	856887	858203	-	WP_011107401.1	WP_011107401.1		ATP-binding protein			BT_RS03445	1317	438	
gene	protein_coding	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	858200	859543	-							BT_RS03450	1344		old_locus_tag=BT0690,BT_0690
CDS	with_protein	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	858200	859543	-	WP_011107402.1	WP_011107402.1		sigma-54 dependent transcriptional regulator			BT_RS03450	1344	447	
gene	protein_coding	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	859612	860415	-							BT_RS03455	804		old_locus_tag=BT0691,BT_0691
CDS	with_protein	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	859612	860415	-	WP_008761367.1	WP_008761367.1		hypothetical protein			BT_RS03455	804	267	
gene	protein_coding	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	860396	861199	-							BT_RS03460	804		old_locus_tag=BT0692,BT_0692
CDS	with_protein	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	860396	861199	-	WP_008761368.1	WP_008761368.1		metallophosphoesterase			BT_RS03460	804	267	
gene	protein_coding	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	861496	863805	+							BT_RS03465	2310		old_locus_tag=BT0693,BT_0693
CDS	with_protein	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	861496	863805	+	WP_032850355.1	WP_032850355.1		ABC transporter permease			BT_RS03465	2310	769	
gene	protein_coding	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	863846	864520	+							BT_RS03470	675		old_locus_tag=BT0694,BT_0694
CDS	with_protein	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	863846	864520	+	WP_008761370.1	WP_008761370.1		ABC transporter ATP-binding protein			BT_RS03470	675	224	
gene	protein_coding	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	864533	866848	+							BT_RS03475	2316		old_locus_tag=BT0695,BT_0695
CDS	with_protein	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	864533	866848	+	WP_011107404.1	WP_011107404.1		ABC transporter permease			BT_RS03475	2316	771	
gene	protein_coding	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	866986	868356	-							BT_RS03480	1371		old_locus_tag=BT0696,BT_0696
CDS	with_protein	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	866986	868356	-	WP_008761372.1	WP_008761372.1		MATE family efflux transporter			BT_RS03480	1371	456	
gene	protein_coding	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	868508	869155	+							BT_RS03485	648		old_locus_tag=BT0697,BT_0697
CDS	with_protein	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	868508	869155	+	WP_008761373.1	WP_008761373.1		HAD family hydrolase			BT_RS03485	648	215	
gene	protein_coding	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	869338	870159	+					panB		BT_RS03490	822		old_locus_tag=BT0698,BT_0698
CDS	with_protein	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	869338	870159	+	WP_008765576.1	WP_008765576.1		3-methyl-2-oxobutanoate hydroxymethyltransferase	panB		BT_RS03490	822	273	
gene	protein_coding	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	870168	871325	+							BT_RS03495	1158		old_locus_tag=BT0699,BT_0699
CDS	with_protein	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	870168	871325	+	WP_008761375.1	WP_008761375.1		MFS transporter			BT_RS03495	1158	385	
gene	protein_coding	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	871454	873670	-							BT_RS03500	2217		old_locus_tag=BT0700,BT_0700
CDS	with_protein	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	871454	873670	-	WP_011107405.1	WP_011107405.1		RelA/SpoT family protein			BT_RS03500	2217	738	
gene	protein_coding	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	873777	875294	+							BT_RS03505	1518		old_locus_tag=BT0701,BT_0701
